Όνομα,Απόσταση από νοσοκομείο,Αστέρια,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Ταχυδρομικός Κώδικας,Ιστοσελίδα,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Διεύθυνση,Εναλλακτικό Φαξ
ΕΛΕΝΑ,,3,elenahotels@yahoo.com,22430-47566,,Κάλυμνος,852 00,,22430-47102,,ΜΑΣΟΥΡΙ ΚΑΛΥΜΝΟΥ,
ΕΛΕΝΑ ΒΙΛΑΤΖ,,4,elenavillage@yahoo.com,2243048150,,Κάλυμνος,852 00,http://elenahotels.com,,,ΜΑΣΟΥΡΙ,
ΕΛΕΝΑ ΧΡΙΣΤΙΝΑ,,2,info@helenachristina.com,22410-68509,22410-68509,Σγουρού,851 00,info@helenachristina.com,,,ΠΑΡ.ΝΙΚΗΦ.ΒΡΕΤΤΑΚΟΥ ΑΣΓΟΥΡΟΥ ΡΟΔΟΣ,
ΕΛΕΝΗ,"


1 Χλμ
",2,kartanousp@gmail.com,6936179075,2241091540,Ιαλυσός,851 01,https://hotelheleni.com,22410-91540,6936179075,ΙΕΡΟΥ ΛΟΧΟΥ 37,2241091540
ΕΛΕΝΗ,"


1.5 Χλμ
",2,hotel.eleni.kefalos@gmail.com,22420-71318,22420-71888,Κέφαλος,853 01,,,2242-071415,ΚΕΦΑΛΟΣ ΚΩ,2242-071888
ΕΛΕΝΗ,"


0.3 Χλμ
",2,elenihtl@otenet.gr,22460-44062,22460-44063,Λιβάδια,850 02,,22460-64222,2241-064222,ΛΕΙΒΑΔΙΑ ΤΗΛΟΥ,2241-044063
ΕΛΕΝΗ,"


16 Χλμ
",1,elenistudios@yahoo.com,22450-61248,22450-61248,Αρκάσα,857 00,,22450-61031,,ΑΡΚΑΣΑ ΚΑΡΠΑΘΟΥ,
ΕΛΕΝΗ,"


0.5 Χλμ
",2,info@hoteleleni.gr,22870-21972,22870-21973,Αδάμαντας,848 01,www.hoteleleni.gr,,,ΑΔΑΜΑΣ ΜΗΛΟΥ,
ΕΛΕΝΗ ΜΠΗΤΣ,,3,elenihtl@otenet.gr,22460-44062,2246044063,Λιβάδια,850 02,www.elenihoteltilos.gr,,,,
ΕΛΕΥΘΕΡΙΑ,"


0.4 Χλμ
",1,htleleft@otenet.gr,22840-22047,22840-24869,Πάρος,844 00,,,2284-022047,ΠΑΡΟΙΚΙΑ ΠΑΡΟΥ,
ΕΛΕΥΘΕΡΙΑ,"


2 Χλμ
",1,,22890-23863,22890-27468,Ορνός,846 00,,,2289-023863,ΟΡΝΟΣ ΜΥΚΟΝΟΥ,2289-027468
ΕΛΕΦΑΝΤΟΣΤΟΥΝ,,2,apartmentsivory@gmail.com,6943470035,,Θεολόγος,851 06,www.ivoryhotel.gr,6943470035,,ΘΕΟΛΟΓΟΣ ΡΟΔΟΥ,
ΕΛΙΑΣ ΜΟΛΟΣ,,3,info@hotelaeolis.com,2287023985,,Αδάμαντας,848 00,https://hotelaeolis.com/,,,,
ΕΛΙΕΣ,"


2 Χλμ
",3,info@hotelelies.gr,22430-47890,22430-47160,Κάλυμνος,852 00,www.hotelelies.gr,22430-48146,2243-022126,ΠΑΝΟΡΜΟΣ ΚΑΛΥΜΝΟΣ,2243-022036
ΕΛΙΕΣ ΡΕΖΟΡΤΣ,"


10 Χλμ
",5,accounts@eliesresorts.com,22840-34000,22840-34070,Βαθύ,840 03,www.eliesresorts.com,22840-34025,21-09698222,ΒΑΘΥ ΣΙΦΝΟΥ,21-09698220
ΕΛΙΚ,,4,elly@kjellqvist.ch,6993558557,,Ρόδος,85100,,,,,
ΕΛΙΟΥΛΑ,"


18 Χλμ
",3,mg@atmaram.eu,22440-44594,,Λάρδος,851 09,,,2241-033606,,2244-044594
ΕΛΙΣΣΑΒΕΤ,"


0.5 Χλμ
",1,info@hotel-elizabeth.com,22850-23505,22850-23505,Νάξος,843 00,www.hotel-elizabeth.com,22850-23727,6946-771162,ΧΩΡΑ ΝΑΞΟΥ,
ΕΛΙΤ,"


0.5 Χλμ
",4,kypriadisaggelos@hotmail.com,22410-22391,22410-36706,Ρόδος,851 00,,,6948785565,ΨΕΡΙΜΟΥ 15,
ΕΛΛΑΣ,"


0.6 Χλμ
",2,hotel_hellas@yahoo.gr,22420-23017,22420-25019,Κως,853 00,,22420-25019,2242-023018,ΜΑΝΔΗΛΑΡΑ 23,
ΕΛΛΑΣ,"


0.7 Χλμ
",2,hellasfamilyhotel@gmail.com,22860-23555,22860-23840,Θήρα,847 00,,22860-25058,6937-727816,ΦΗΡΑ ΘΗΡΑΣ,2286-023840
ΕΛΛΗ,"


0.25 Χλμ
",1,,22850-23061,,Νάξος,843 00,,,2285-022319,ΧΩΡΑ ΝΑΞΟΥ,
ΕΛΛΗ ΚΟΛΠΟΣ,"


0.03 Χλμ
",3,hotel@ellibay.com,22460-44435,22460-44438,Λιβάδια,850 02,www.ellibay.com,22460-44437,2241-022545,ΛΙΒΑΔΙΑ ΤΗΛΟΥ,
ΕΛΛΗΝΙΚΟ,"


0.5 Χλμ
",2,hellinikohotel@live.com,22840-21429,22840-22743,Πάρος,844 00,www.hotelhelliniko.gr,22840-24756,,ΠΑΡΟΙΚΙΑ ΠΑΡΟΥ,
ΕΛΛΗΝΙΣ,"


2 Χλμ
",2,hotelhellinispatmos@yahoo.gr,22470-31275,22470-31846,Πάτμος,855 00,www.hotelhellinispatmos.gr,22470-34004,2247-031275,ΣΚΑΛΑ ΠΑΤΜΟΥ,2247-031846
ΕΛΜΑ,,2,,22420-22920,,Κως,853 00,,,2242-022920,ΑΚΤΗ ΚΟΥΝΤΟΥΡΙΩΤΟΥ 11,2242-023727
ΕΛΠΙΝΙΚΗ,"


8 Χλμ
",2,hotelelpiniki@gmail.com,22470-23913,,Αγία Μαρίνα,854 00,www.elpinikihotel.gr,,,ΑΛΙΝΤΑ,
ΕΛΥΖΙΟΥΜ,"


0.5 Χλμ
",4,info@elysiumhotel.com,22890-23952,22890-23747,Πλατύς Γιαλός,846 00,www.elysiumhotel.com,22890-24210,21-09237410,ΡΟΧΑΡΗ ΜΥΚΟΝΟΥ,21-09237410
ΕΛΥΣΙΟΥΜ,"


12 Χλμ
",5,info@elysium.gr,2241045700,22410-87060,Κοσκινού,851 00,www.elysium.gr,2241045705,22410-45700,ΑΜΜΟΥΔΕΣ,22410-87060
ΕΜΒΑΣΗ,"


0.5 Χλμ
",2,,22450-22671,,Κάρπαθος,857 00,,22450-23950,21-08950736,,
ΕΜΙΛΥ,"


8 Χλμ
",1,emily.syros@gmail.com,22810-61400,22810-61400,Βάρη,841 00,www.hotelemily.gr,22810-61459,,,
ΕΜΜΑΝΟΥΕΛ,"


1.5 Χλμ
",3,emmanuel.nikos@yahoo.com,22410-36010,,Ρόδος,851 00,,,,ΚΕΝΝΕΝΤΥ 37,
ΕΜΠΟΝΑ,"


2 Χλμ
",2,empona61@otenet.gr,22410-39071,22410-74604,Ρόδος,851 00,,22410-24139,6948877161,Γ.ΓΡΙΒΑ 61,
ΕΝ ΛΕΥΚΩ,"


3 Χλμ
",4,info@enlefko.com.gr,22890-26817,22890-26885,Μύκονος,846 00,www.enlefko.com.gr,22890-26814,21-02815971,ΑΛΕΟΜΑΝΔΡΑ ΜΥΚΟΝΟΣ,21-02823432
ΕΝ ΠΛΩ,"


0.5 Χλμ
",4,info@kamaritours.gr,22860-24270,22860-24270,Θήρα,847 00,www.kamaritours.gr,,2286-031390,ΦΗΡΑ ΘΗΡΑΣ,2286-032754
ΕΝΝΕΑ ΜΟΥΣΕΣ,"


11 Χλμ
",5,reservations@santorini9muses.gr,2286081781,2286081790,Εμπορειό,847 00,www.santorini9muses.gr,,2108981429,ΠΕΡΙΒΟΛΟΣ ΕΜΠΟΡΕΙΟΥ ΘΗΡΑΣ,2108981742
ΕΝΤΕΝ ΡΟΚ ΡΕΣΟΡΤ,"


4 Χλμ
",5,info@edenroc.gr,2241067067,2241067062,Κοσκινού,851 00,www.edenroc.gr,2241066700,,ΡΕΝΙ ΚΟΣΚΙΝΟΥ ΡΟΔΟΣ,
ΕΝΤΜΑΡΚ,"


4 Χλμ
",2,manos71@otenet.gr,22420-25952,,Κως,853 00,,,2242-025952,,2242-024369
ΕΠΑΜΕΙΝΩΝΤΑΣ ΘΕΑ & ΘΑΛΑΣΣΑ,"


27 Χλμ
",3,info@marevista.gr,22820-41177,22820-41681,Μπατσί,845 03,www.marevista.gr,22820-41682,210-6022247,ΜΠΑΤΣΙ ΑΝΔΡΟΥ,210-6022247
ΕΠΑΝΩ ΣΤΗ ΘΑΛΑΣΣΑ,,4,lia.litsou@hotmail.gr,2234023194,,Ποσειδωνία,84100,,,2234023544,,2234023544
ΕΠΑΥΛΙΣ,"


7 Χλμ
",4,info@epavlishotel.com,22860-34292,22860-34293,Καμάρι,847 00,www.epavlishotel.com,,,ΚΑΜΑΡΙ ΘΗΡΑΣ,
ΕΠΑΥΛΙΣ ΜΙΝΩΑ,,2,info@epavlishotel.com,22860-31908,,Καμάρι,847 00,,,,ΚΑΜΑΡΙ ΘΗΡΑΣ,
ΕΠΙΤΟΜΗ,,5,reservations@canaves.com,2286071453,,Οία,84702,https://canaves.com/canaves-oia-epitome/,,,,
ΕΠΙΦΑΝΥ,"


0.9 Χλμ
",2,epiphanyapts@hotmail.com,22450-22136,22450-22907,Κάρπαθος,857 00,,6972-267067,6972-267067,ΠΗΓΑΔΙΑ ΚΑΡΠΑΘΟΥ,
ΕΠΤΑ ΒΑΓΙΕΣ,"


1 Χλμ
",1,info@seven-palms.com,22410-36830,22410-31154,Ρόδος,851 00,www.seven-palms.com,22410-31154,,ΠΡΟΕΚΤΑΣΗ ΔΕΝΔΡΙΝΟΥ 1Β-ΤΘ 142,
ΕΡΑΤΩ,"


13 Χλμ
",4,secretariat@marissolhotels.gr,22410-85414,,Φαληράκι,851 05,,22410-85801,2241-063373,ΦΑΛΗΡΑΚΙ ΡΟΔΟΥ,2241-086917
ΕΡΑΤΩ,"


4 Χλμ
",3,info@eratomykonos.com,22890-23961,22890-24280,Ορνός,846 00,www.eratomykonos.com,,6932-540708,ΟΡΝΟΣ ΜΥΚΟΝΟΥ,
ΕΡΗ,"


1 Χλμ
",3,rivolli1@otenet.gr,22840-23360,22840-24562,Πάρος,844 00,www.erihotel.gr,,21-05226831,ΛΙΑΡΟΚΟΠΙ ΠΑΡΟΙΚΙΑΣ ΠΑΡΟΥ,21-05245743
ΕΡΜΗΣ,"


1 Χλμ
",3,info@hermes-syros.com,22810-83011,22810-87412,Ερμούπολη,841 00,www.hermes-syros.com,22810-88011,,ΕΡΜΟΥΠΟΛΙΣ,
ΕΡΜΗΣ,"


1 Χλμ
",2,hermesht@otenet.gr,22410-27677,22410-33160,Ρόδος,851 00,www.hermesrhodes.gr,,,ΝΙΚ.ΠΛΑΣΤΗΡΑ 1,
ΕΡΜΗΣ,"


5 Χλμ
",2,sevastimeletios@gmail.com,22430-47693,,Κάλυμνος,852 00,,22430-48097,,ΣΥΝΟΙΚΙΑ ΠΟΤΑΜΟΙ,
ΕΡΜΗΣ,"


0.2 Χλμ
",4,info@mykonoshermes.com,22890-24242,22890-25646,Μύκονος,846 00,www.mykonoshermes.com,22890-25369,2289-022802,ΤΥΡΟΚΟΜΙΟ ΜΥΚΟΝΟΥ,2289-025646
ΕΡΜΗΣ,"


12 Χλμ
",2,hotel.hermes@gmx.net,22420-41543,22420-41544,Μαρμάρι,853 00,,,,ΜΑΡΜΑΡΙ ΠΥΛΙΟΥ - ΚΩΣ,
ΕΡΜΗΣ,"


3 Χλμ
",2,andros.h@hotmail.com,22820-72246,,Άγιος Πέτρος,845 01,,22820-61647,2282-061647,ΑΓΙΟΣ ΠΕΤΡΟΣ ΓΑΥΡΙΟΥ ΑΝΔΡΟΥ,
ΕΡΜΗΣ,"


9 Χλμ
",4,info@hermes-santorini.com,2286031664,2286033240,Καμάρι,847 00,www.hermessantorini.com,2286033241,,ΚΑΜΑΡΙ ΘΗΡΑΣ,
ΕΣΜΕΡΑΛΝΤΑ,"


12 Χλμ
",3,esmeralh@otenet.gr,22410-94469,22410-94447,Κρεμαστή,851 04,www.esmeralda-rhodes.com,2241094447,2241-094469,ΛΕΩΦ.ΕΛΕΥΘΕΡΙΑΣ 30,2241-094469
ΕΣΠΕΡΑΣ,,4,info@esperas-santorini.com,2286071501,2286071613,Θήρα,84702,www.esperas-santorini.com,,,,
ΕΣΠΕΡΙΑ,"


1 Χλμ
",3,acman@esperiagroup.gr,22410-70899,22410-23164,Ρόδος,851 00,www.esperiagroup.gr,22410-24282,2241-023941,ΣΤΡ.ΓΡΙΒΑ 7,2241-023164
ΕΣΠΕΡΙΑ,"


14 Χλμ
",3,info@hotelesperiakos.gr,22420-42010,22420-42012,Μαρμάρι,853 00,www.hotelesperiakos.gr,22420-42011,,ΜΑΡΜΑΡΙ ΔΙΚΑΙΟΥ- ΚΩΣ,
ΕΣΠΕΡΙΔΕΣ,"


10 Χλμ
",4,esperides@esperia-hotels.gr,22410-84200,22410-85079,Φαληράκι,851 05,www.esperia-hotels.gr,,2241-084200,ΦΑΛΗΡΑΚΙ ΡΟΔΟΥ,2241-085079
ΕΣΠΕΡΙΔΕΣ,,2,georgefrouzakis@yahoo.com,2242024440,2242021550,Κως,853 00,,,,ΣΠΥΡΟΥ ΟΙΚΟΝΟΜΟΥ 13,
ΕΣΠΕΡΙΔΕΣ,"


0.25 Χλμ
",2,steliosmandilaras@gmail.com,22850-22010,22850-23230,Νάξος,843 00,,22850-22457,6977913808,ΧΩΡΑ ΝΑΞΟΥ,
ΕΣΠΕΡΟΣ ΠΑΛΛΑΣ,"


12 Χλμ
",4,esperos-palace@esperia-hotels.gr,22410-84300,22410-85744,Φαληράκι,851 05,www.esperospalace.gr,,2241-084300,ΦΑΛΗΡΑΚΙ ΡΟΔΟΥ,2241-085744
ΕΣΤΙΑ,,3,,22860-32685,,Καμάρι,847 00,,,,ΚΑΜΑΡΙ ΘΗΡΑΣ,
ΕΣΤΙΑ ΜΠΙΤΣ,,3,p.michalski@myplanet.cz,2155053803,,Καρδάμαινα,85302,,,,,
ΕΤΖΙΑΝ ΛΑΝΤ,,3,aegeanlandnaxos@gmail.com,22850-42871,,Νάξος,843 00,,,,ΚΑΛΑΜΟΥΡΙΑ,
ΕΤΖΙΑΝ ΠΛΑΖΑ,,4,info@aegeanplaza.gr,22860-28740,22860-33921,Καμάρι,847 00,http://aegeanplaza.gr/,,,ΚΑΜΑΡΙ ΘΗΡΑΣ,
ΕΤΖΙΑΝ ΤΖΕΜ,,4,mairy1958@hotmail.gr,6932316060,,Μεσαριά,84700,,,,,
ΕΥΑ,"


0.3 Χλμ
",2,eva.aparthotel@gmail.com,22410-29508,22410-36720,Ρόδος,851 00,evaaparthotel.gr,,,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 22,
ΕΥΑ ΝΙΚ,"


0.5 Χλμ
",2,info@evanik-hotel.gr,22430-22057,22430-50665,Κάλυμνος,852 00,www.evanik-hotel.gr,,,ΣΥΝΟΙΚΙΣΜΟΣ ΚΑΛΑΜΙΩΤΙΣΣΑΣ,
ΕΥΑΓΓΕΛΙΝΗ,"


8 Χλμ
",4,d.vamvakopoulos@gmail.com,22810-81453,22810-43945,Ποσειδωνία,841 00,,210-8066652,21-08066652,,
ΕΥΑΓΓΕΛΟΣ,,3,Manager@ecobeach-hotel.com,2244043357,,Γεννάδι,851 09,www.ecobeach-hotel.com,,,ΓΕΝΑΔΙ ΡΟΔΟΥ,
ΕΥΔΟΚΙΑ,,2,info@3brothershotel.gr,22850-42549,27570-22995,Άγιος Αρσένιος,843 00,www.camping-semeli.gr,,,ΑΓ.ΑΡΣΕΝΙΟΣ ΝΑΞΟΥ,
ΕΥΗ,,2,evihotel.ltd@gmail.com,22410-85586,22410-85633,Φαληράκι,851 05,www.evihotel.gr,,,ΦΑΛΗΡΑΚΙ ΡΟΔΟΥ,
ΕΥΚΑΛΥΠΤΟΣ,"


3 Χλμ
",2,info@hoteleucalyptus.gr,22860-31733,22860-24116,Μεσαριά,847 00,www.hoteleucalyptus.gr,22860-24112,22860-31733,ΜΕΣΣΑΡΙΑ ΘΗΡΑΣ,22860-24116
ΕΥΟΙ ΕΥΑΝ,"


0.5 Χλμ
",2,,22810-42067,,Γαλησσάς,841 00,,,2281-084219,ΓΑΛΗΣΣΑ ΣΥΡΟΥ,
ΕΥΡΩΠΗ,"


2 Χλμ
",3,info@europahotelrodos.gr,22410-36600,22410-22711,Ρόδος,851 00,www.europahotelrodos.gr,22410-36601,2241-022712,28ΗΣ ΟΚΤΩΒΡΙΟΥ 94,2241-022711
ΕΥΣΤΑΘΙΑ,"


3 Χλμ
",2,hotelefstathia@gmail.com,22470-24199,22470-24199,Αγία Μαρίνα,854 00,www.efstathiahotel.com,22470-24099,2247-022863,,2247-024199
ΕΥΤΕΡΠΗ ΒΙΛΛΑΣ,"


0.8 Χλμ
",2,efterpi@otenet.gr,22860-22541,22860-22542,Θήρα,847 00,www.efterpi.gr,,2421-070772,,2421-070772
ΕΥΤΥΧΙΑ,"


0.5 Χλμ
",2,manospartheniadis@gmail.com,22420-26051,,Κως,853 00,,22420-22350,2242-028162,,2242-023212
ΕΥΤΥΧΙΣΜΕΝΕΣ ΜΕΡΕΣ,"


0.5 Χλμ
",3,happydays.tholos@yahoo.gr,22410-83325,,Θεολόγος,851 06,,22410-82665,6932-288057,ΘΕΟΛΟΓΟΣ ΡΟΔΟΥ,2241-038984
ΕΥΦΡΟΣΥΝΗ,"


9 Χλμ
",3,info@hotel-efrosini.gr,2284071353,22840-71235,Πλατύς Γιαλός,840 03,www.hotel-efrosini.gr,,2284-032140,ΠΛΑΤΥΣ ΓΙΑΛΟΣ ΣΙΦΝΟΥ,
ΕΥΧΗ ΣΟΥΙΤΕΣ -1904,,4,info@efchi1904.gr,2241026080,2241026080,Ρόδος,851 00,www.efchi1904.gr,,,Ι. Κωνσταντόπαιδος 11,
ΕΦΗ,"


2 Χλμ
",2,effiehtl@otenet.gr,22470-32500,22470-32700,Πάτμος,855 00,www.effiehotel.gr,22470-31298,2247-031298,ΚΑΣΤΕΛΛΙ ΣΚΑΛΑΣ ΠΑΤΜΟΥ,
ΕΨΙΛΟΝ,"


12 Χλμ
",4,epsilon-apts@esperia-hotels.gr,22410-85912,22410-85990,Φαληράκι,851 05,www.epsilonapartments.gr,85934,2241-087510,ΦΑΛΗΡΑΚΙ ΡΟΔΟΥ,2241-086551
ΖΑΚΩΣΤΑ ΒΙΛΛΑ,"


2.5 Χλμ
",4,info@zacosta.com,22410-33450,22410-33490,Ρόδος,851 00,www.zacosta.com,,6972-004868,ΞΕΝΟΦΩΝΤΟΣ 23-ΠΑΛΙΑ ΠΟΛΗ,
ΖΑΝΝΕΤ,"


0.3 Χλμ
",2,hotelzannet@yahoo.gr,22840-22063,22840-22063,Πάρος,844 00,,22840-21575,,ΠΑΡΟΙΚΙΑ ΠΑΡΟΥ,
ΖΑΝΝΗΣ,"


0.2 Χλμ
",2,logistiriogogos2015@gmail.com,22890-22486,22890-23042,Μύκονος,846 00,www.zannis.gr,22890-27114,2289-022486,ΜΥΚΟΝΟΣ-ΣΧΟΛΗ ΚΑΛΩΝ ΤΕΧΝΩΝ,2289-023042
ΖΑΝΝΟΣ ΜΕΛΑΘΡΟΝ,"


4 Χλμ
",5,zannos@zannos.gr,22860-28220,22860-28229,Πύργος Καλλίστης,847 00,www.zannos.gr,,2286-028220,ΠΥΡΓΟΣ ΚΑΛΛΙΣΤΗΣ ΘΗΡΑΣ,2286-028229
ΖΕΥΣ,"


0.5 Χλμ
",2,info@naxos-zeus.com,22850-25454,22850-23357,Νάξος,843 00,www.naxos-zeus.com,22850-22912,2285-025454,ΧΩΡΑ ΝΑΞΟΥ,2285-023357
ΖΕΥΣ,"


1.5 Χλμ
",2,zeushotel@yahoo.gr,22420-71590,22420-71588,Κέφαλος,853 01,,22420-71570,2242-071439,ΚΕΦΑΛΟΣ ΚΩ,
ΖΕΥΣ,"


7 Χλμ
",2,info@santorinizeus.com,2286031473,2286032231,Καμάρι,847 00,www.santorinizeus.com,,,ΚΑΜΑΡΙ ΘΗΡΑΣ,
ΖΕΦΗ,"


0.2 Χλμ
",2,info@zefi-hotel.com,22840-51789,22840-52477,Νάουσα,844 01,www.zefi-hotel.com,22840-052092,21-09757291,ΝΑΟΥΣΑ ΠΑΡΟΥ,
ΖΕΦΥΡΟΣ,"


0.5 Χλμ
",2,info@zephyros-hotel.gr,22420-22288,22420-22245,Κως,853 00,www.zephyros-hotel.com,,2242-023954,ΒΑΣΙΛΕΩΣ ΓΕΩΡΓΙΟΥ 34,
ΖΕΦΥΡΟΣ,"


3 Χλμ
",1,zefyroshotelrhodes@gmail.com,6995200300,22410-75501,Ρόδος,851 00,,22410-30861,6995200300,ΔΕΝΔΡΙΝΟΥ 135,
ΖΕΦΥΡΟΣ,"


5 Χλμ
",3,halikossa@gmail.com,2243059905,22430-47524,Κάλυμνος,852 00,,22430-47524,6977-236699,ΜΥΡΤΙΕΣ,2243-047524
ΖΕΦΥΡΟΣ,"


0.03 Χλμ
",3,info@santorinizephyros.com,22860-31108,22860-31200,Καμάρι,847 00,www.santorinizephyros.com,,2286-033045,ΚΑΜΑΡΙ ΘΗΡΑΣ,2286-031200
ΖΕΦΥΡΟΣ,"


5 Χλμ
",3,info@zephyros.gr,22890-23928,22890-24902,Μύκονος,846 00,www.zephyrosmykonos.com,22890-24924,,ΠΑΡΑΓΚΑ ΜΥΚΟΝΟΥ,
ΖΙΑΚΗΣ,,3,ziakis@otenet.gr,2244048131,22440-48138,Πεύκοι,851 07,,22440-48141,22410-64224,ΠΕΥΚΟΙ ΛΙΝΔΟΥ ΡΟΔΟΥ,22440-48138
ΖΟΡΜΠΑΣ,"


0.8 Χλμ
",3,info@zorbashotelsantorini.com,22860-25040,22860-32005,Πύργος Καλλίστης,847 01,,,21-08150282,ΠΥΡΓΟΣ ΘΗΡΑΣ,21-08150282
ΖΩΗ,"


0.1 Χλμ
",2,hotelporfyris@gmail.com,2245029191,,Κάρπαθος,857 00,,,,ΠΗΓΑΔΙΑ ΚΑΡΠΑΘΟΥ,
ΖΩΗ,"


0.1 Χλμ
",3,zoehouses@gmail.com,22860-71466,22860-28057,Οία,847 02,www.zoe-aegeas.gr,,6936-614484,ΟΙΑ ΘΗΡΑΣ,
ΖΩΗ,"


10 Χλμ
",3,info@zoes.gr,22410-85140,22410-87697,Φαληράκι,851 05,www.zoes.gr,,2241-085140,ΣΑΟΥΡΑΚΙ-ΦΑΛΗΡΑΚΙ,
ΖΩΡΖΗΣ,,2,info@zorzishotel.com,22890-22167,22890-24169,Μύκονος,846 00,www.zorzishotel.com,2289024168,,ΜΥΚΟΝΟΣ,
ΖΩΡΖΗΣ,"


3 Χλμ
",2,info@santorinizorzis.com,22860-81104,22860-81107,Πέρισσα,847 00,www.santorinizorzis.com,22860-81107,2286-081104,,2286-081107
Η ΑΠΟΛΑΥΣΙΣ,"


4 Χλμ
",2,studiosapolafsis@yahoo.gr,22470-31961,22470-32094,Πάτμος,855 00,www.apolafsis.gr,22470-32540,2247-031764,ΓΡΟΙΚΟΣ ΠΑΤΜΟΥ,2247-032094
Η ΘΑΛΑΣΣΑ ΤΟΥ ΑΝΔΡΕΑ,,4,accounts@dandreamare.com,22410-96086,,Ιαλυσός,851 01,,22410-96087,,ΤΕΡΜΑ ΤΙΜΟΚΡΕΟΝΤΟΣ,
Η ΛΙΜΝΟΘΑΛΑΣΣΑ ΤΟΥ ΑΝΔΡΕΑ,,5,reservations@dandrealagoon.com,2241096086,2241096088,Μαρμάρι,85300,https://dandrealagoon.com,,,,
Η ΜΕΓΑΛΗ ΙΞΙΑ,"


5 Χλμ
",5,info@theixiangrand.gr,22410-92944,22410-94413,Ιαλυσός,851 01,www.theixiangrand.gr,,2241-092944,ΙΞΙΑ ΡΟΔΟΥ,2241-094413
Η ΝΗΣΟΣ ΙΟΣ,"


5 Χλμ
",2,nisosios@otenet.gr,22860-91610,22860-91306,Ίος,840 01,www.nissosios-hotel.com,6976-406973,2286-091579,ΜΥΛΟΠΟΤΑΣ ΙΟΥ,2286-091306
Η ΤΖΙΑ ΜΑΣ,"


5.5 Χλμ
",2,,22880-21305,,Κορησσία,840 02,,22880-22400,,,
Η ΧΑΡΙΣ,"


0.04 Χλμ
",3,charitomenifot@yahoo.gr,22460-71931,22460-71524,Σύμη,856 00,,,21-04186377,ΣΥΜΗ,
ΗΒΗ,"


6 Χλμ
",2,anna@efistudios.gr,22840-41015,22840-43396,Δρυός,844 00,www.ivihotel.gr,,2284-041977,ΔΡΥΟΣ ΜΑΡΠΙΣΣΑ ΠΑΡΟΥ,
ΗΛΕΚΤΡΑ,"


1 Χλμ
",3,reservations@electrasyros.gr,22810-79488,22810-79489,Ερμούπολη,841 00,www.electrasyros.gr,,,ΜΥΛΟΙ-ΒΑΠΟΡΙΑ,
ΗΛΕΚΤΡΑ ΠΑΛΛΑΣ,"


6 Χλμ
",5,saleseprho@electrahotels.gr,22410-92521,22410-92038,Ιαλυσός,851 01,www.electrahotels.gr,22410-92333,,ΠΑΡΑΛΙΑ ΙΑΛΥΣΟΥ,
ΗΛΙΑΚΟΝ,"


4 Χλμ
",1,,22410-30611,,Ρόδος,851 00,,22410-30807,,ΝΙΚΗΤΑΡΑ 66,
ΗΛΙΑΣ,"


0.2 Χλμ
",3,info@lagadabeach.gr,22870-23411,22870-23416,Αδάμαντας,848 00,www.lagadahotel.com,22870-23415,21-04174780,ΑΔΑΜΑΣ ΜΗΛΟΥ,21-04131302
ΗΛΙΑΧΤΙΔΑ,"


0.4 Χλμ
",3,info@sunshinehotelsantorini.com,22860-31007,22860-32240,Καμάρι,847 00,www.sunshinehotelsantorini.com,,,ΚΑΜΑΡΙ ΣΑΝΤΟΡΙΝΗΣ,
ΗΛΙΑΧΤΙΔΑ,"


5 Χλμ
",2,sunbeam.kos@gmail.com,22420-91234,2242026377,Κως,853 02,http://sunbeamkos.blogspot.gr/,,6945801547,28ης Οκτωβρίου,2242026377
ΗΛΙΟΒΑΣΙΛΕΜΑ,"


0.5 Χλμ
",2,ilio@hotelaegeon.com,2285023222-3,22850-23224,Νάξος,843 00,www.hotelaegeon.com,22850-22107,22850-22107,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ ΝΑΞΟΥ,22850-23224
ΗΛΙΟΒΑΣΙΛΕΜΑ,"


2 Χλμ
",1,nancytoli@yahoo.gr,22890-23013,22890-23931,Τούρλος,846 00,,22890-23375,2289-023375,ΤΟΥΡΛΟΣ ΜΥΚΟΝΟΥ,
ΗΛΙΟΒΑΣΙΛΕΜΑ,"


0.8 Χλμ
",1,sunset.patmos@yahoo.gr,22470-31411,22470-32796,Σκάλα,855 00,,210-8958465,21-08958465,,2247-032796
ΗΛΙΟΒΑΣΙΛΕΜΑ,"


1.5 Χλμ
",2,sunsethotelkos@gmail.com,22420-69428,22420-69429,Τιγκάκι,853 00,,22420-69991,2242-024013,ΤΙΓΚΑΚΙ ΚΩΣ,2242-029429
ΗΛΙΟΒΑΣΙΛΕΜΑ,"


0.8 Χλμ
",1,sunset-@otenet.gr,22860-23046,22860-24003,Θήρα,847 00,www.sunsethotel.gr,,2286-022358,ΦΗΡΟΣΤΕΦΑΝΙ ΘΗΡΑΣ,
ΗΛΙΟΒΑΣΙΛΕΜΑ,,2,,22430-47522,,Κάλυμνος,852 00,,,,,
ΗΛΙΟΒΑΣΙΛΕΜΑ,"


8.5 Χλμ
",2,m.zaloni@yahoo.com,22810-71211,22810-71211,Κίνι,841 00,,,2281-087218,,2281-071211
