Όνομα,Απόσταση από νοσοκομείο,Αστέρια,E-Mail,Τηλέφωνο,Εναλλακτικό Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Ιστοσελίδα,Τηλέφωνο 2,Εναλλακτικό Φαξ
ΜΙΜΟΖΑ,"


6 Χλμ
",2,info@smartlinemimosa.com,26630-95363,2663-095352,26630-95361,Σιδάρι,ΣΙΔΑΡΙ ΚΕΡΚΥΡΑΣ,49081,www.smartlinemimosa.com,26630-95352,2663-095361
ΜΙΜΟΖΑ Ι,"


0.2 Χλμ
",2,info@smartlinemimosa.com,26630-95363,26630-95352,26630-95361,Σιδάρι,ΣΙΔΑΡΙ ΚΕΡΚΥΡΑΣ,490 81,www.smartlinemimosa.com,26630-95352,
ΜΙΜΟΖΑ ΜΠΗΤΣ,"


4 Χλμ
",3,info@mimozabeach.gr,26950-42588,2695-042704,26950-42844,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,www.mimozabeach.gr,28676,
ΜΙΝΑ,"


0.5 Χλμ
",1,,26610-93404,,,Πυργί,ΠΥΡΓΙ-ΑΓ.ΜΑΡΚΟΥ ΚΕΡΚΥΡΑΣ,490 81,,,
ΜΙΡΑΜΑΡΕ,,2,miramarehotelargostoli@gmail.com,26710-25511,2671-028580,26710-25512,Αργοστόλι,Ι.ΜΕΤΑΞΑ 2  &  ΙΣΡΑΗΛ,281 00,,26710-25513,2671-025512
ΜΙΡΑΜΑΡΕ ΠΑΡΚ,,4,,26610-75224,,26610-75305,Μοραΐτικα,ΜΩΡΑΙΤΙΚΑ ΚΕΡΚΥΡΑΣ,490 84,,,
ΜΙΡΑΜΠΕΛ,"


1 Χλμ
",2,info@mirabel.gr,26710-25381,,26710-25384,Αργοστόλι,ΑΡΓΟΣΤΟΛΙ ΚΕΦΑΛΛΗΝΙΑΣ,281 00,www.mirabelhotel.com,26710-25382,
ΜΙΡΑΜΠΕΛΛΕ,"


4 Χλμ
",3,info@mirabellehotel.gr,26950-45676,22910-72224,26950-26435,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,www.mirabellehotel.gr,6940749852,22910-72224
ΜΙΡΑΜΠΕΛΛΟ ΔΙΑΜΕΡΙΣΜΑΤΑ,,2,mirabello.apartments@gmail.com,26610-93164,,,Κάτω Κορακιάνα,,490 83,https://sites.google.com/view/mirabello-hotel-dassia/contact,,
ΜΙΣΤΡΑΛ,"


2 Χλμ
",3,magnagr@otenet.gr,26610-93053,2661-093053,26610-93396,Κάτω Κορακιάνα,ΔΑΣΙΑ ΚΕΡΚΥΡΑΣ,490 83,www.magnagraeciahotel.com,26610-93056,
ΜΙΧΑΗΛΑ,"


42 Χλμ
",2,,26740-72314,2671-028832,2674072314,Πόρος,ΠΟΡΟΣ ΚΕΦΑΛΛΗΝΙΑΣ,280 82,,,
ΜΟΛΦΕΤΑ,"


3 Χλμ
",3,info@molfettabeach.com,26610-91915,6944-795949,26610-91919,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,www.molfettabeach.com,26610-91916,26610-91919
ΜΟΝΙΚΑ,,2,,26630-99274,,26610-43066,Σιδάρι,ΣΙΔΑΡΙ ΚΕΡΚΥΡΑΣ,490 81,http://monikahotelcorfu.gr/,,
ΜΟΝΤΡΕΑΛ,"


16 Χλμ
",2,,26950-83241,2695-083434,,Καταστάρι,ΑΛΥΚΕΣ ΖΑΚΥΝΘΟΥ,290 90,www.montrealhotel.gr,26950-83341,2695-083342
ΜΟΡΦΕΑΣ,"


4 Χλμ
",2,info@morfeashotel.com,26620-61300,2662-024711,26620-61298,Κάβος,ΚΟΚΚΙΝΙΑ ΛΕΥΚΙΜ.ΚΕΡΚΥΡΑΣ,490 80,www.morfeashotel.com,26620-61302,2662-061298
ΜΟΤΖΟ,"


10 Χλμ
",2,kostaskanaris@hotmail.com,26950-52145,6976-978203,26950-52922,Λαγανάς,,290 92,www.divahotel.gr,26950-24158,
ΜΟΥΙΚΗΣ,"


1 Χλμ
",3,mouikon@otenet.gr,26710-23454,2671-023454,26710-24528,Αργοστόλι,ΑΡΓΟΣΤΟΛΙ ΚΕΦΑΛΛΗΝΙΑΣ,281 00,www.mouikis.com.gr,26710-23032,2671-024528
ΜΟΥΝΤΑ ΜΠΗΤΣ,"


35 Χλμ
",3,info@moundabeach.gr,26710-83151,6948921334,26710-83159,Σκάλα,ΣΚΑΛΑ ΚΕΦΑΛΛΗΝΙΑΣ,280 82,www.moundabeach.gr,26710-83152,
ΜΟΥΣΤΑΚΗΣ,,2,tolias_@hotmail.com,26740-61060,6937082333,26740-61030,Αγία Ευφημία,ΑΓ.ΕΥΦΗΜΙΑ ΚΕΦΑΛΛΗΝΙΑΣ,280 81,,26740-61030,
ΜΠΑΛΑΡΗ,"


0.45 Χλμ
",3,info@kassiopi.com,26630-81440,2663-081441,26630-81108,Κασσιόπη,,491 00,www.kassiopi.com,26630-81220,2663-081108
ΜΠΑΛΚΟΝΙ ΤΟΥ ΤΖΑΝΤΕ,"


0.8 Χλμ
",2,info@balconyhotel.gr,26950-26179,6974-241579,26950-28638,Πλάνος,,291 00,www.balconyhotel.gr,,2695-028638
ΜΠΑΝΜΠΟΥΣ,,2,iliasiliopoulos1974@gmail.com,26610-93780,,,Κάτω Κορακιάνα,ΚΑΤΩ ΚΟΡΑΚΙΑΝΑ ΚΕΡΚΥΡΑΣ,490 83,,,
ΜΠΑΡΜΠΑΤΙ,,2,l-faitas@otenet.gr,26610-97453,2661-093620,26610-93870,Μπαρμπάτι,ΜΠΑΡΜΠΑΤΙ ΚΕΡΚΥΡΑΣ,490 83,www.hotelbarbati.com,,2661-093870
ΜΠΑΡΡΑΣ,"


3 Χλμ
",2,barras@otenet.gr,26630-51047,,,Άγιος Στέφανος,,490 81,,,
ΜΠΑΣΤΑΣ,"


6 Χλμ
",2,info@hotel-bastas.com,26620-30000,6978-707171,26620-31803,Λάκκα,,490 82,www.hotel-bastas.com,,
ΜΠΑΥΡΟΝ,"


0.7 Χλμ
",2,kolaitibyron@yahoo.gr,2671023401,2674-025826,26710-23441,Αργοστόλι,ΑΡΓΟΣΤΟΛΙ,281 00,www.hotelbyron.gr,26710-25826,2671023441
ΜΠΕΛ ΑΙΡ,"


0.05 Χλμ
",3,info@hotel-belair.gr,26450-92125,26450-93093,26450-92721,Νυδρί,,311 00,www.hotel-belair.gr,,
ΜΠΕΛΑ ΔΗΜΗΤΡΑ,,3,dimitrahotel77@gmail.com,6980802267,,,Αργάσι,,29100,,,
ΜΠΕΛΒΕΝΤΕΡΕ,"


2 Χλμ
",3,reservations@belvedere-corfu.gr,2661072442,2109400580,2661072441,Μπενίτσες,ΤΣΑΚΙ ΣΤΡΟΓΓΥΛΗΣ ΚΕΡΚΥΡΑΣ,49080,www.belvedere-corfu.gr,2661072381,2109430161
ΜΠΕΛΛΑ ΒΙΣΤΑ,"


0.03 Χλμ
",2,info@bellavistahotel.gr,26610-72087,2661-072087,26610-72088,Μπενίτσες,ΜΠΕΝΙΤΣΕΣ ΚΕΡΚΥΡΑΣ,490 84,www.bellavistahotel.gr,,2661-072088
ΜΠΕΛΟΥΣΙ ΜΠΗΤΣ,,4,info@belussi.gr,26950-61954,,2695061954,Κυψέλη,ΔΡΟΣΙΑ ΚΥΨΕΛΗΣ,291 00,www.belussi.gr,,
ΜΠΕΝΙΤΣΑ,,1,,26610-39269,,,Μπενίτσες,ΜΠΕΝΙΤΣΕΣ ΚΕΡΚΥΡΑΣ,490 84,,26610-72248,
ΜΠΕΝΙΤΣΕΣ ΜΠΕΪ ΒΙΟΥ,"


2 Χλμ
",3,info@benitsesbayview.com,26610-56205,,26610-57336,Γαστούρι,ΓΑΣΤΟΥΡΙ ΚΕΡΚΥΡΑΣ,490 84,https://benitsesbayview.com,2661056789,
ΜΠΙΝΖΑΝ ΙΝΝ,"


1 Χλμ
",3,bintzaninn@gmail.com,26610-56081,26610-56081,26610-56083,Γαστούρι,ΓΑΣΤΟΥΡΙ ΚΕΡΚΥΡΑΣ,490 84,www.bintzaninn.com,26610-56073,26610-56083
ΜΠΙΤΖΑΡΟ ΓΚΡΑΝΤΕ,"


5 Χλμ
",3,bitzarogrande@bitzarohotels.gr,26950-23344,2695-044065/45506,26950-24542,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.bitzarohotels.gr,42832,
ΜΠΛΕ ΟΡΙΖΟΝΤΑΣ,"


10 Χλμ
",3,,26710-41178,2671-024351,,Σβορωνάτα,ΣΒΟΡΩΝΑΤΑ ΚΕΦΑΛΛΗΝΙΑΣ,281 00,,,2671-041707
ΜΠΛΕ ΠΡΙΓΚΙΠΙΣΣΑ ΛΙΑΠΑΔΩΝ ΞΕΝΟΔΟΧΕΙΟ ΚΑΙ ΣΟΥΙΤΕΣ ΣΤΗ ΘΑΛΑΣΣΑ,"


3 Χλμ
",4,blueprincess.dolianiti@gmail.com,26630-41455,2663-041455,,Λιαπάδες,ΛΙΑΠΑΔΕΣ ΚΕΡΚΥΡΑΣ,490 83,,26630-41479,2663-041479
ΜΠΛΕ ΣΠΙΤΙ,"


0.2 Χλμ
",2,info@casadeblue-studios.gr,26710-31616,26710-31323,26710-31531,Βλαχάτα,,280 83,www.casadeblue-studios.gr,26710-31323,26710-31531
ΜΠΛΟΥ ΜΠΗΤΣ-ΓΑΛΑΖΙΑ ΑΚΤΗ,"


26 Χλμ
",3,info@bluebeach.gr,26950-31524,,26950-31524,Άγιος Νικόλαος,ΑΓ.ΝΙΚΟΛ.ΒΟΛΙΜΩΝ ΖΑΚΥΝΘΟΥ,290 91,www.bluebeach.gr,,
ΜΠΛΟΥ ΣΚΑΪ,"


17 Χλμ
",2,redcost45@gmail.com,2661053357,2661053357,,Άγιος Γόρδιος,AGIOS GORDIOS,49084,,,2661-030006
ΜΠΟΖΙΚΗΣ ΠΑΛΛΑΣ,"


8 Χλμ
",2,aggelosbozikis@gmail.com,26950-52260,,26950-52263,Λιθακιά,ΑΓΙΟΣ ΣΩΣΤΗΣ ΛΙΘΑΚΙΑΣ ΖΑΚΥΝΘΟΥ,290 92,www.bozikispalace.com,26950-52261,
ΜΠΟΛΕΤΣΟΣ ΜΠΗΤΣ,"


3.5 Χλμ
",2,boletsosbeach@yahoo.com,26950-48739,6987352298,26950-24366,Αργάσι,,291 00,www.boletsos-beach.gr,,
ΜΠΟΣΚΕΤΟ,"


0.5 Χλμ
",4,info@boschettohotel.com,26450-20244,26450-24967,26450-22550,Λευκάδα,ΔΑΙΡΠΦΕΛΔ 1,311 00,www.boschettohotel.com,26450-24967,
ΜΠΟΥΚΑΒΙΛΙΑ ΒΙΛΑΤΖ,"


6 Χλμ
",2,bougainv@otenet.gr,26950-52359,6937-065642,26950-53031,Λαγανάς,ΑΓΙΟΣ ΣΩΣΤΗΣ,290 92,www.bougainvillea.gr,,
ΜΠΟΥΡΜΠΟΣ,"


22 Χλμ
",1,vivi@odysseushotel.gr,26630-41209,26610-49443,26630-41342,Παλαιοκαστρίτσα,ΠΑΛΑΙΟΚΑΣΤΡΙΤΣΑ ΚΕΡΚΥΡΑΣ,490 83,www.odysseushotel.gr,26630-22280,
ΜΠΡΟΥΣΚΟΣ,"


0.4 Χλμ
",1,Bruskosapartments@gmail.com,26620-51111,2662-051111,26620-51112,Άγιος Γεώργιος Αργυράδων,,490 80,www.hotel-bruskos.de,26620-52125,2662-051112
ΜΥΘΟΣ,,2,,26620-61028,2662-061028,,Κάβος,ΚΑΒΟΣ ΛΕΥΚΙΜΗΣ,490 80,,26620-61225,2662-061422
ΜΥΛΩΝΑ ΜΑΡΙΑ,,2,mariashotel@gmail.com,26950-83397,,,Καταστάρι,,290 90,,,
ΜΥΡΤΟΣ,"


2 Χλμ
",2,hotelmyrtos.kef@gmail.com,26740-61753,,26740-61753,Διβαράτα,,280 81,,26740-61320,2674-061753
ΝΑΣΟΣ,"


12 Χλμ
",1,nasos-x1@otenet.gr,26610-75343,2661-075343,26610-76308,Μοραΐτικα,ΜΩΡΑΙΤΙΚΑ ΚΕΡΚΥΡΑΣ,490 84,www.nasoshotel.com,26610 76308,2661-076308
ΝΑΣΟΣ ΡΙΣΟΡΤ,"


12 Χλμ
",3,nasos-x1@otenet.gr,2661075343,2661-075343,26610-76308,Μοραΐτικα,ΜΩΡΑΙΤΙΚΑ ΚΕΡΚΥΡΑΣ,490 84,www.nasoshotel.com,5331076308,2661-076308
ΝΑΣΤΑΖΙΑ,,2,,26610-91549,,,Κάτω Κορακιάνα,ΔΑΣΙΑ ΚΕΡΚΥΡΑΣ,490 83,,,
ΝΑΤΑΛΙ,"


0.04 Χλμ
",1,natalieshotel@gmail.com,26710-83586,6944-765777,,Σκάλα,,280 86,,,
ΝΑΤΑΛΥ,"


2 Χλμ
",3,nataliehotel@hotmail.com,26950-52394,,26950-52396,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,,26950-52396,
ΝΑΥΣΙΚΑ,"


45 Χλμ
",2,nafsika1@otenet.gr,26630-51051,,26630-51112,Άγιος Στέφανος,ΑΓΙΟΣ ΣΤΕΦΑΝΟΣ ΚΕΡΚΥΡΑΣ,490 81,www.nafsikahotel.com,,
ΝΑΥΤΙΛΟΣ,,2,l-faitas@otenet.gr,26610-93620,2661-093620,26610-93870,Μπαρμπάτι,ΜΠΑΡΜΠΑΤΙ ΚΕΡΚΥΡΑΣ,491 00,www.corfu.tv,,2661-093870
ΝΑΥΤΙΛΟΣ,"


3 Χλμ
",2,nautilusna@hotmail.com,26710-93496,6977531828,26710-92095,Ληξούρι,ΣΟΥΛΑΡΟΙ,282 00,,,
ΝΕΦΕΛΗ,"


12 Χλμ
",2,nefelisa@otenet.gr,26450-97400,21-06913241,,Άγιος Νικήτας,ΑΓ.ΝΙΚΗΤΑΣ ΛΕΥΚΑΔΑΣ,310 80,www.nefelihotel.gr,26450-97402,21-06913241
ΝΕΦΕΛΗ,"


2.5 Χλμ
",3,hotelnefeli@web.de,26610-91033,,26610-90290,Κάτω Κορακιάνα,ΔΑΦΝΙΛΑ-ΚΟΜΜΕΝΟ ΚΕΡΚΥΡΑΣ,491 00,www.hotelnefeli.com,26610-90001,
ΝΕΦΕΛΗ ΜΠΗΤΣ,,3,nefelihotelzante@gmail.com,6988579101,,,Αργάσι,,29100,,,
ΝΗΡΗΙΔΕΣ,"


0.7 Χλμ
",3,bersekerscala@gmail.com,26710-83060,6977298113,26710-83060,Σκάλα,ΣΚΑΛΑ ΚΕΦΑΛΟΝΙΑΣ,280 02,,,
ΝΗΣΑΚΙ ΘΑΛΑΣΣΙΝΗ ΘΕΑ,"


5 Χλμ
",2,nseaview@otenet.gr,26630-91239,,26630-91011,Νησάκι,ΝΗΣΑΚΙ ΓΙΜΑΡΙΟΥ ΚΕΡΚΥΡΑΣ,491 00,,26630-91011,
ΝΗΣΑΚΙ ΜΠΗΤΣ,"


23 Χλμ
",4,nissaki@otenet.gr,26630-91232/5,2663-091232/5,26630-22079,Νησάκι,ΝΗΣΑΚΙ ΚΕΡΚΥΡΑΣ,491 00,www.nissakibeach.gr,91277,2663-022079
ΝΗΣΟΣ ΚΕΡΚΥΡΑ,,3,giannis_markatis@yahoo.gr,2661076173,2661076173,26610-76778,Ψαράς,,490 80,www.kerkyraisland.com,,2661076778
ΝΙΝΟ,"


1 Χλμ
",1,ninosonthebeach81@gmail.com,26630-64291,2661-023655,,Ρόδα,ΡΟΔΑ ΚΕΡΚΥΡΑΣ,490 81,,,
ΝΙΟΥ ΑΚΟΥΑ,,5,caraccou@otenet.gr,2695045506,,,Ζάκυνθος,,29100,,,
ΝΙΡΙΚΟΣ,"


0.3 Χλμ
",2,nirikos@otenet.gr,26450-24132,,26450-23756,Λευκάδα,ΑΓΙΑ ΜΑΥΡΑ ΛΕΥΚΑΔΑΣ,311 00,www.nirikos.gr,,
ΝΟΣΤΑ,,2,gsellas@otenet.gr,000-0000000,,,Σιδάρι,,490 81,,,
ΝΟΣΤΟΣ,"


2.5 Χλμ
",2,nostanag@otenet.gr,26740-31644,2674-031476,26740-31716,Φρίκες,ΦΡΥΚΕΣ ΙΘΑΚΗΣ,283 00,www.hotelnostos-ithaki.gr,26740-31100,
ΝΟΣΤΟΣ,"


2 Χλμ
",2,info@nostoshotellefkada.com,26450-92510,2645071024,26450-92621,Περιγιάλι,ΠΕΡΙΓΙΑΛΙ ΛΕΥΚΑΔΟΣ,311 00,www.nostoshotellefkada.com,,2645-092621
ΝΤΑΙΖΗ,"


0.15 Χλμ
",1,,26950-28505,2695-028505,,Ζάκυνθος,Ν.ΚΟΛΥΒΑ 73,291 00,,,
ΝΤΑΙΖΗ,"


1 Χλμ
",2,daisyhoteltsilivi@yahoo.com,26950-22834,2695-028505,,Πλάνος,,291 00,,,
ΝΤΑΛΙΑ,"


3 Χλμ
",2,info@daliahotel.com,26610-32341,,26610-36048,Κέρκυρα,ΕΘΝΙΚΟΥ ΣΤΑΔΙΟΥ 7,491 00,www.daliahotel.com,26610-80844,
ΝΤΑΛΛΑΣ,"


15 Χλμ
",2,michdallas@gmail.com,26710-41586,,26710-41589,Σβορωνάτα,ΝΤΟΜΑΤΑ,281 00,www.hoteldallas.gr,,
ΝΤΑΝΝΥ’Σ ΟΤΕΛ,"


3 Χλμ
",2,info@dannyshotel.com,26950-84056,6973-339105,26950-84132,Αλικανάς,,290 90,www.dannyshotel.com,,2695-084132
ΝΤΑΝΤΟΛΟ,"


30 Χλμ
",3,dandolo@hotmail.com,26630-63557,,2663063457,Αχαράβη,ΑΧΑΡΑΒΗ ΘΙΝΑΛΙΟΥ ΚΕΡΚΥΡΑΣ,490 81,www.dandolo.gr,26630-63558,
ΝΤΑΝΤΟΣ,"


5 Χλμ
",2,info@dadoshotel.gr,2695055351,6972085948,2695055352,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,29092,www.dadoshotel.gr,,
ΝΤΑΝΥ,,2,woulasi@gmail.com,26630-81470,,26630-32974,Κασσιόπη,ΚΑΣΙΩΠΗ ΚΕΡΚΥΡΑΣ,491 00,,,
ΝΤΕΝΙΣ ΙΝΝ,"


6 Χλμ
",3,info@dennysinn.gr,26950-27785,21-09957007,26950-27787,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,dennysinn.gr,26950-27786,21-09953988
ΝΤΕΝΙΣ ΜΠΗΤΣ,"


7 Χλμ
",4,info@denisebeach.gr,26950-52280,2695-049499,26950-52040,Λαγανάς,,290 92,www.denisebeach.gr,26950-52281,2695-045774
ΝΤΙΒΙΝΑ,"


10 Χλμ
",1,hoteldivina@yahoo.gr,26950-42274,2695-042274,26950-51510,Λιθακιά,ΑΓ.ΣΩΣΤΗΣ ΛΙΘΑΚΙΑ ΖΑΚΥΝΘΟΥ,291 00,,26950-51510,
ΝΤΙΜΙΣ,,2,,26950-52578,,,Λαγανάς,ΛΑΓΑΝΑΣ,290 92,,,
ΝΤΙΝΟΣ,"


4 Χλμ
",2,,26950-43638,2695-048646,,Πλάνος,,291 00,,,
ΝΤΟΛΛΑΣ,"


5 Χλμ
",2,desi12@otenet.gr,26950-23480,2695-041776,26950-23480,Καλαμάκι,,291 00,,26950-41775,
ΝΤΟΜΕΝΙΚΟ,,2,,000-0000000,,,Μαγουλάδες,ΠΟΡΤΙ,490 81,,,
ΝΤΟΝ & ΓΙΩΡΓΟΣ,"


2 Χλμ
",2,dawn@gdaparthotel.com,26950-55100,,26950-55100,Λιθακιά,,290 92,www.zanteweb.gr/zakynthos.zante/en/george-dawn,,
ΝΥΔΡΙΟΝ ΑΚΤΗ,"


1.5 Χλμ
",2,info@nydrionbeach.gr,26450-92400,,26450-92151,Νυδρί,ΝΥΔΡΙ ΛΕΥΚΑΔΟΣ,311 00,www.nydrionbeach.gr,2645092401,
ΞΕΝ/ΧΕΙΟ ΑΓΓΛΙΑΣ & ΩΡΑΙΑΣ ΒΕΝΕΤΙΑΣ,"


6 Χλμ
",3,info@bellaveneziahotel.com,26610-44290,,26610-20708,Κέρκυρα,Ν.ΖΑΜΠΕΛΗ 4,491 00,www.bellaveneziahotel.com,26610-46500,
ΞΕΝΟΔΟΧΕΙΟ ΓΙΑΝΝΗΣ & ΖΩΗ,"


4 Χλμ
",2,myhotel@otenet.gr,26950-27794,6944-073515,26950-27794,Καλαμάκι,,291 00,,,
ΞΕΝΟΣ ΚΑΜΑΡΑ ΜΠΗΤΣ,"


4 Χλμ
",2,kamarabeach@gmail.com,26950-24024,2695-023937,26950-26062,Αργάσι,,291 00,,26950-24026,
Ο ΗΛΙΟΣ ΤΗΣ ΚΑΡΕΤΑ,,4,myhotel@otenet.gr,6944268023,,2695049301,Καλαμάκι,,29100,,,
Ο ΚΟΛΠΟΣ ΤΩΝ ΕΛΙΩΝ,"


10 Χλμ
",2,info@olivebay.gr,+306976730760,2674-061220,26740-61695,Αγία Ευφημία,,280 81,www.olivebay.gr,2674061220,
Ο ΜΙΚΡΟΣ ΜΟΥ ΛΟΦΟΤΟΠΟΣ,"


4 Χλμ
",2,info@mylittleplaceonthehill.com,26710-69651,,26710-69653,Κοριάννα,,280 83,www.mylittleplaceonthehill.com,,
Ο ΜΙΚΡΟΣ ΠΡΙΓΚΙΠΑΣ,,2,info@thelittleprince.gr,26630-52171,,26630-52171,Άγιος Στέφανος,,490 81,www.thelittleprince.gr,,
ΟΑΣΙΣ,"


7 Χλμ
",3,info@corfuoasis.com,26610-38190,2661-038190,26610-25435,Πέραμα,Τ.Θ.244,491 00,www.corfuoasis.com,26610-33120,2661-025435
ΟΑΣΙΣ,"


0.05 Χλμ
",1,oassiskassiopi@gmail.com,26630-81210,,26630-81067,Κασσιόπη,ΚΑΣΣΙΩΠΗ ΚΕΡΚΥΡΑΣ,491 00,www.oassiskassiopi.com,,
ΟΑΣΙΣ,"


13 Χλμ
",3,lefkadaoasis@gmail.com,2645092694,6978439880,26450-22556,Περιγιάλι,ΠΕΡΙΓΙΑΛΙ ΛΕΥΚΑΔΑΣ,311 00,www.lefkadaoasis.gr,,
ΟΔΥΣΣΕΑΣ,"


10 Χλμ
",3,odysseasfiscardo@gmail.com,26740-41023,2674041364,26740-41023,Φισκάρδο,ΦΙΣΚΑΡΔΟ ΚΕΦΑΛΛΗΝΙΑΣ,280 84,odysseasfiscardo.com,26740-41364,2674041023
ΟΔΥΣΣΕΙΑ,"


12 Χλμ
",2,info@odysseyhotel.gr,26450-97351,6974-447499,26450-97421,Άγιος Νικήτας,ΑΓΙΟΣ ΝΙΚΗΤΑΣ ΛΕΥΚΑΔΑΣ,310 80,www.odysseyhotel.gr,2645097352,2645-097421
ΟΔΥΣΣΕΙΑ,"


9 Χλμ
",4,info@hotelodyssey.gr,26740-61089,,26740-61986,Αγία Ευφημία,ΑΓΙΑ ΕΥΦΗΜΙΑ ΚΕΦ/ΝΙΑΣ,280 81,www.hotelodyssey.gr,,
ΟΔΥΣΣΕΙΟΝ,"


0.5 Χλμ
",3,odysion1@otenet.gr,26450-31018,21-06004030,26450-31018,Βασιλική,,310 82,www.odyssion.gr,6978-774592,21-02932689
ΟΔΥΣΣΕΥΣ,"


0.3 Χλμ
",3,vivi@odysseushotel.gr,26630-41209,2663-041209,26630-41342,Παλαιοκαστρίτσα,ΠΑΛΑΙΟΚΑΣΤΡΙΤΣΑ ΚΕΡΚΥΡΑΣ,490 83,www.odysseushotel.gr,26630-22280,2663-041342
ΟΙ ΚΗΠΟΙ ΤΗΣ ΦΡΟΣΥΝΗΣ,"


30 Χλμ
",3,hellhn@hotmail.com,6937717167,6937717167,26630-81089,Κασσιόπη,ΚΑΣΣΙΩΠΗ ΚΕΡΚΥΡΑΣ,491 00,www.frosinikassiopi.com,,
ΟΛΓΑ,"


3 Χλμ
",1,info@olga-hotel.com,26630-51496,6938827691,26630-72061,Άγιος Στέφανος,ΑΓ. ΣΤΕΦΑΝΟΣ ΑΥΛΙΩΤΩΝ,490 81,www.olga-hotel.com,6938827691,2663-072061
ΟΛΓΑΣ’ ΓΚΡΟΥΠ,"


7 Χλμ
",3,info@olgashotelcorfu.com,6956010667,2663-095267,26630-29542,Περουλάδες,,490 81,www.olgashotelcorfu.com,26630-95267,2663-029541
ΟΛΕΑ,,5,aristeam@otenet.gr,2695041100,,,Πλάνος,,29100,,,
ΟΛΕΑ ΝΤΕΛΟΥΞ,,5,info@oleaallsuitehotel.com,2695022265,,2695022266,Πλάνος,,29100,https://oleaallsuitehotel.com,,
ΟΛΥΜΠΙΑ,,2,olympiahotel@yahoo.gr,26950-51644,,26950-53264,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,,,
ΟΛΥΜΠΙΟΝ ΒΙΛΑΤΖ,"


5 Χλμ
",3,olympionvillage@gmail.com,26620-61793,6945-412393,26620-61612,Κάβος,ΚΑΒΟΣ ΛΕΥΚΙΜΜΗΣ,490 80,www.olympion-village.com.gr,,
ΟΜΗΡΙΚΟΝ,"


8 Χλμ
",1,nikosargyros74@gmail.com,26610-91471,2661-091471,26610-90161,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,,26610-091921,
ΟΜΗΡΙΚΟΝ,"


1 Χλμ
",3,omirikon@omirikonhotel.com,26740-33596,2674-033120,26740-33598,Ιθάκη,Γ.ΣΤΑΘΑΤΟΥ 11Α,283 00,www.omirikonhotel.com,26740-33597,2674-033130
ΟΜΗΡΟΣ,"


5 Χλμ
",3,reservations@across.gr,2661091839,2310476131,2310476132,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,https://acrosshotels.gr/omiroshotel/,2310476131,2310476132
ΟΜΟΝΟΙΑ,,2,,26610-93417,,26610-36629,Πυργί,ΠΥΡΓΙ ΚΕΡΚΥΡΑΣ,490 83,,,
ΟΝΕΙΡΟ ΚΑΛΟΚΑΙΡΙΝΟ,,2,gtzivras@otenet.gr,26710-31365,,,Βλαχάτα,,281 00,,,
ΟΝΕΙΡΟ ΚΑΛΟΚΑΙΡΙΝΟ 2,,2,gtzivras@otenet.gr,26710-31365,,,Βλαχάτα,ΒΛΑΧΑΤΑ ΚΕΦΑΛΛΗΝΙΑΣ,281 00,,,
ΟΝΤΕΟΝ,"


0.4 Χλμ
",2,info@vassiliki.net,26450-31918,,26450-31919,Βασιλική,ΒΑΣΙΛΙΚΗ ΛΕΥΚΑΔΑΣ,310 82,www.vassiliki.com,26450-31917,
ΟΡΕΣΤΗΣ,"


0.3 Χλμ
",1,info@orestisapartments.com,2663095076,,2663095976,Σιδάρι,ΣΙΔΑΡΙ ΚΕΡΚΥΡΑΣ,490 81,www.orestisapartments.com,2663095276,
ΟΡΙΖΟΝΤΑΣ,"


1.5 Χλμ
",2,info@horizon-hotel.gr,26630-51780,,26630-52173,Αρίλλας,ΑΡΙΛΛΑΣ ΚΕΡΚΥΡΑΣ,490 81,www.horizon-hotel.gr,,
ΟΡΦΕΑΣ,"


7.5 Χλμ
",1,gouviahotel@yahoo.com,26610-91436,2661-091436,26610-91897,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,www.orpheuscorfu.com,,2661-091987
ΟΣΚΑΡ,,2,,26610-93371,,,Κάτω Κορακιάνα,ΔΑΣΙΑ ΚΕΡΚΥΡΑΣ,490 83,,26610-93373,
