Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Ταχυδρομικός Κώδικας,Διεύθυνση,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΓΑΛΑΖΙΟΣ ΟΡΙΖΟΝΤΑΣ,,3,WWW.BLUEHORIZONBALI.GR,bluehorizonbali@gmail.com,28340-94004,,Μπαλί,740 57,,28340-94212,,
ΓΑΛΑΖΙΟΣ ΟΥΡΑΝΟΣ,"


5 Χλμ
",3,www.blueskycrete.gr,bluehotelgr@gmail.com,28420-28264,28420-89374,Ιεράπετρα,722 00,ΙΕΡΑΠΕΤΡΑ,,6936-645717,2842-089374
ΓΑΛΑΖΙΟΣ ΟΥΡΑΝΟΣ,"


1 Χλμ
",2,www.blueskyhotel.eu,blue-sky@otenet.gr,28210-68394,28210-60895,Αγία Μαρίνα,731 00,,,2821-068394,
ΓΑΛΑΞΙΑΣ,"


0.5 Χλμ
",5,www.economouhotels.com,galaxy@economouhotels.com,2810-238812,2810-211211,Ηράκλειο,713 06,ΔΗΜΟΚΡΑΤΙΑΣ 75,,,
ΓΑΛΑΞΙΑΣ,"


0.3 Χλμ
",3,www.galaxyhotelierapetra.gr,galaxyhotelierapetra@gmail.com,28420-26541,28420-26541,Ιεράπετρα,722 00,ΟΜΗΡΕΙΑΣ 4,28420-26541,,
ΓΑΛΑΞΙΑΣ,"


0.5 Χλμ
",1,www.galaxy-apartments.gr,info@galaxy-apartments.gr,28210-68615,28210-38257,Σταλός,731 00,ΚΑΤΩ ΣΤΑΛΟΣ Ν.ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ,,,
ΓΑΛΑΤΕΙΑ,,1,,galatia.apts@gmail.com,2810-762629,,Βαθειανός Κάμπος,715 00,ΒΑΘΕΙΑΝΟΣ ΚΑΜΠΟΣ ΗΡΑΚΛΕΙΟΥ,,,
ΓΑΛΕΑΝΑ,"


4 Χλμ
",2,www.galeana-hotels.gr,info@galeana-hotels.gr,28310-54140,28310-54245,Ρέθυμνο,741 00,ΜΑΧΗΣ ΚΡΗΤΗΣ 196,28310-29553,2831-026868,2831-054674
ΓΑΛΕΑΝΑ ΘΑΛΑΣΣΑ,"


5 Χλμ
",3,www.galeana-hotels.gr,info@galeana-hotels.gr,28310-73006,28310-20840,Αδελιανός Κάμπος,741 00,ΑΔΕΛΙΑΝΟΣ ΚΑΜΠΟΣ ΡΕΘΥΜΝΟΥ,28310-73009,2831-026868,2831-054674
ΓΑΛΗΝΗ,"


1.5 Χλμ
",2,,hotelgalini@yahoo.gr,28970-22207,28970-21149,Ανισσαράς,700 14,ΑΝΙΣΣΑΡΑΣ ΧΕΡΣΟΝΗΣ.ΚΡΗΤΗΣ,28970-24405,2897-021804,2897-021149
ΓΑΛΗΝΗ,,1,www.galinihotels.gr,info@galinihotels.gr,28210-91016,,Αγία Μαρίνα,731 00,,28210-68148,,
ΓΑΛΗΝΗ ΕΔΕΝ,,1,www.edenbeachchania.gr,info@galinihotels.gr,28210-91015,,Αγία Μαρίνα,731 00,,28210-60394,,
ΓΑΛΗΝΗ ΠΑΛΛΑΣ,,5,www.galinihotels.gr,info@galinihotels.gr,28210-68148,,Αγία Μαρίνα,731 00,ΠΑΛ.ΕΟ ΚΙΣΣΑΜΟΥ-ΑΓΙΑΣ ΜΑΡΙΝΑΣ,28210-60394,,
ΓΕΙΑ ΣΟΥ ΚΡΗΤΗ,,2,,kavrosbeach88@gmail.com,28250-61172,,Γεωργιούπολη,730 07,ΚΑΒΡΟΣ,,,
ΓΕΡΑΝΙ,"


3 Χλμ
",2,,zalo1@otenet.gr,28410-22551,28410-22551,Αμμουδάρα,721 00,Κ.ΣΦΑΚΙΑΝΑΚΗ 17,,2841-022551,
ΓΕΦΥΡΑ,"


1 Χλμ
",2,gefyrahotel.webnode.gr,gefyrahotel@outlook.com.gr,28410-25411,28410-25411,Άγιος Νικόλαος,721 00,ΚΡΙΤΣΑΣ 1,6977507906,,
ΓΕΩΡΓΙΟΥΠΟΛΗ ΡΗΖΟΡΤ,,5,www.georgioupolis-resort.gr,manager@georgioupolis-resort.gr,28250-61126,28250-61129,Γεωργιούπολη,730 07,ΚΑΒΡΟΣ,,,
ΓΙΑΝΝΑ,"


1 Χλμ
",4,,info@yiannacaravel.gr,2810-824724,2810-315476,Γάζι,714 14,ΤΕΡΜΑ ΔΙΟΣ,6944-740786,,
ΓΙΑΝΝΗΣ,,2,,,000-0000000,,Σταυρωμένος,741 00,,,,
ΓΙΑΝΝΗΣ-ΕΛΕΝΗ,"


4 Χλμ
",2,,effie@kalamaki-travel.gr,28210-31866,28210-52784,Γαλατάς,731 00,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ 97,,,
ΓΙΑΝΝΗΣ-ΜΑΝΟΣ,"


0.5 Χλμ
",1,www.yiannismanos.gr,yiannismanos@yahoo.gr,28970-33687,28970-33687,Μάλια,700 07,,,6944-222094,2897-031821
ΓΙΑΝΝΗΣ-ΜΑΡΙΑ,"


0.3 Χλμ
",2,,hotelibiscus@yahoo.com,28970-31313,28970-32042,Μάλια,700 07,ΕΛ.ΒΕΝΙΖΕΛΟΥ 53,,2897-031313,2897-032042
ΓΙΑΣΕΜΟΧΩΡΙ ΙΒΙΣΚΟΣ,,2,,accounts@portoplatanias.gr,28210-68060,,Πλατανιάς,730 14,ΠΛΑΤΑΝΙΑΣ ΚΥΔ.ΧΑΝΙΩΝ,2821038800,,
ΓΙΑΣΕΜΟΧΩΡΙ ΛΥΔΙΑ,,2,,accounts@portoplatanias.gr,28210-68060,,Πλατανιάς,730 14,ΠΛΑΤΑΝΙΑΣ ΧΑΝΙΩΝ,2821038800,,
ΓΙΑΣΕΜΟΧΩΡΙ ΜΥΡΙΑ,,2,,accounts@portoplatanias.gr,28210-68060,,Πλατανιάς,730 14,,,,
ΓΙΑΣΕΜΟΧΩΡΙ ΟΛΕΑ,,2,,accounts@portoplatanias.gr,28210-68060,28210-68647,Πλατανιάς,730 14,ΠΛΑΤΑΝΙΑΣ ΧΑΝΙΩΝ,2821038800,,
ΓΙΟΜΑ,"


0.15 Χλμ
",2,,giomahotel@gmail.com,28320-91190,28320-91190,Αγία Γαλήνη,740 56,ΑΓ.ΓΑΛΗΝΗ ΡΕΘΥΜΝΟΥ,,,
ΓΚΑΛΑΞΥ ΒΙΛΛΑΣ,"


1 Χλμ
",4,www.economouhotels.com,accounting@economouhotels.com,28970-22910,2810-211211,Κουτουλουφάρι,700 14,ΚΟΥΤΟΥΛΟΥΦΑΡΙ ΗΡΑΚΛΕΙΟΥ,,281-0238812,281-0211211
ΓΚΛΟΡΙΑ,"


2 Χλμ
",2,,,2810-245412,,Ηράκλειο,713 07,ΑΙΓΑΙΟΥ 15,2810-228312,,
ΓΚΟΛΝΤΕΝ ΜΠΗΤΣ,"


0.9 Χλμ
",4,www.goldenhotels.gr,messaritakisippokratis@goldenhotels.gr,28970-22368,28970-23091,Λιμένας Χερσονήσου,700 14,ΕΛΕΥΘ. ΒΕΝΙΖΕΛΟΥ 191,024475,2897-024688,
ΓΚΟΛΝΤΕΝ ΜΠΗΤΣ,"


6 Χλμ
",2,,,28210-41981,28210-40747,Χανιά,731 00,ΜΑΚΡΥΣ ΤΟΙΧΟΣ Ν.ΚΥΔΩΝ.ΧΑΝ,28210-32128,2821-041981,2821-040747
ΓΚΟΛΝΤΕΝ ΣΤΑΡ,"


0.5 Χλμ
",4,www.goldenhotels.gr,tripakifotini@goldenhotels.gr,28970-25187,28970-24719,Ανάληψη,700 14,ΑΝΑΛΗΨΗ ΧΕΡΣΟΝΗΣΟΥ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,,,
ΓΚΡΕΓΚΟΡΙ ΚΟΜΦΟΡΤ,,3,,grigoryanvitaliy@gmail.com,6934205828,,Γαλατάς,73100,,,,
ΓΚΡΗΝ – ΠΡΑΣΙΝΟ,"


1 Χλμ
",2,www.maravelspili.gr,maravelh@otenet.gr,28320-22225,28320-22056,Σπήλιο,740 53,ΣΠΗΛΙ ΡΕΘΥΜΝΟΥ,28320-22056,,
ΓΚΤ ΜΠΗΤΣ,,2,www.gtbeach.gr,gt@gtbeach.gr,28210-75669,28210-62664,Πλατανιάς,731 00,ΠΥΡΓΟΣ ΨΗΛΟΝΕΡΟΥ ΧΑΝ.ΚΡΗΤΗΣ,28210-62040,,
ΓΛΑΡΟΣ,"


1 Χλμ
",4,www.glaroshotel.com,info@glaroshotel.com,28970-22106,28970-21764,Λιμένας Χερσονήσου,700 14,ΜΠΟΥΜΟΥΛΙΝΑΣ 5,,2897-022106,2897-021764
ΓΛΑΡΟΣ,"


0.1 Χλμ
",2,www.glaros-agiagalini.com,glarosag@otenet.gr,28320-91151,28320-91159,Αγία Γαλήνη,740 56,ΑΓΙΑ ΓΑΛΗΝΗ ΡΕΘΥΜΝΗΣ,,2832-041459,2832-091159
ΓΛΑΡΟΣ,"


17 Χλμ
",2,www.hotelglaros.gr,info@hotelglaros.gr,28230-41613,28230-41298,Παλαιοχώρα,730 01,ΔΑΣΚΑΛΟΓΙΑΝΝΗ 1,28230-41635,2823-041613,2823-041298
ΓΛΑΡΟΣ,"


0.5 Χλμ
",2,,seagullchania@gmail.com,28210-68747,28210-38036,Αγία Μαρίνα,731 00,ΑΓ.ΜΑΡΙΝΑ ΧΑΝΙΩΝ,,6992-326050,
ΓΛΥΚΙΑ ΑΝΑΜΝΗΣΗ,"


0.5 Χλμ
",4,www.sweetmemory.gr,info@sweetmemory.gr,2897041309,28970-42111,Γούβες,700 14,ΓΟΥΒΕΣ ΠΕΔΙΑΔΟΣ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,2897042570,2810-334117,2897042111
ΓΟΡΓΟΝΑ,"


0.02 Χλμ
",3,www.gorgonahotel.com,htlgorss@gmail.com,2810-821920,2810-821180,Γάζι,714 14,ΑΜΜΟΥΔΑΡΑ ΓΑΖΙΟΥ ΗΡΑΚΛ.,2810-821405,281-0821689,281-0821180
ΓΟΡΤΥΝΑ,"


6 Χλμ
",3,www.hotelgortyna.gr,info@hotelgortyna.gr,28310-71802,28310-71824,Σκαλέτα,741 00,ΣΚΑΛΕΤΑ ΡΕΘΥΜΝΟΥ,28310-71846,2831-055212,2831-055212
ΓΟΡΤΥΣ,"


2 Χλμ
",4,www.zeushotels.gr,manager.neptuno@zeushotels.gr,2814 - 409200,2810-250888,Γάζι,715 00,ΑΜΜΟΥΔΑΡΑ ΓΑΖΙΟΥ ΗΡΑΚΛΕΙΟΥ,2814 - 409210,,
ΓΟΥΒΕΣ ΜΠΕΥ,"


0.5 Χλμ
",4,www.gouvesbay-hotel.com,info@gouvesbay-hotel.com,2897042421,2897042422,Γούβες,700 14,ΓΟΥΒΕΣ ΗΡΑΚΛΕΙΟΥ,2897042422,2810251006,2810261078
ΓΟΥΒΕΣ ΠΑΡΚ ΣΟΥΙΤΕΣ,,5,www.gouvespark.gr,reservations@gouvespark.gr,2897043300,2897043264,Κάτω Γούβες,70014,,,,
ΓΟΥΙΝΤΑΜ ΓΚΡΑΝΤ ΚΡΙΤ ΜΙΡΑΜΠΕΛΟ ΜΠΕΪ,"


2 Χλμ
",5,www.wyndhamgrandmirabello.com,gm@wyndhamgrandmirabello.com,2841028400,28410-28810,Άγιος Νικόλαος,721 00,ΧΑΒΑΝΙΑ,,,
ΓΟΥΙΝΤΑΜ ΓΚΡΑΝΤ ΚΡΙΤ ΜΙΡΑΜΠΕΛΟ ΜΠΕΪ ΒΙΛΑΤΖ,"


5 Χλμ
",5,www.wyndhamgrandmirabello.com,gm@wyndhamgrandmirabello.com,28410-28400,28410-28810,Άγιος Νικόλαος,721 00,ΧΑΒΑΝΙΑ,,2841-028400,2841-028810
ΔΑΪΟΣ ΚΟΟΥΒ ΛΑΞΟΥΡΙ ΡΗΖΟΡΤ,"


7 Χλμ
",5,www.daioscove.com,maria.tsakiri@daioshotels.com,28410-62600,,Βαθύ,721 00,ΒΑΘΥ ΚΡΙΤΣΑΣ,,,
ΔΑΜΝΟΝΙ ΜΠΕΗ,"


1.5 Χλμ
",2,www.damnonibay.eu,info@damnonibay.eu,28320-31373,28320-31002,Μύρθιος,740 60,ΜΥΡΘΙΟΣ ΡΕΘΥΜΝΗΣ,28320-31024,2832-031024,2832-031002
ΔΑΜΝΟΝΙ ΠΑΡΑΔΕΙΣΟΣ,"


15 Χλμ
",2,www.damnoniparadise.gr,sourmeli@otenet.gr,28320-31480,28320-31480,Δαμνόνι,740 60,ΔΑΜΝΟΝΙ ΜΥΡΘΙΟΥ ΡΕΘΥΜΝΟΥ,,21-09352371,21-09352371
ΔΑΜΝΟΝΙ ΡΙΖΟΡΤ,"


3.5 Χλμ
",4,www.hapimag.com,kosta.mountakis@hapimag.com,28320-30000,28320-30001,Μύρθιος,740 60,ΜΥΡΘΙΟΣ ΑΓ.ΒΑΣΙΛ. ΡΕΘΥΜΝ.,,6944-698116,
ΔΑΝΑΪΔΕΣ,"


0.01 Χλμ
",4,,danaidesaptsmalia@gmail.com,28970-33040,28970-32962,Μάλια,700 07,ΔΗΜΟΚΡΑΤΙΑΣ 82,28970-34052,2897-032356,
ΔΑΝΑΟΣ,"


1 Χλμ
",2,www.danaoshotel.gr,info@danaoshotel.gr,28210-96021,28210-96150,Χανιά,731 31,ΑΚΤΗ ΠΑΠΑΝΙΚΟΛΗ 23,28210-96022,,
ΔΑΝΤΗΣ,,4,,,28310-51702,,Μαρουλάς,741 00,ΜΑΡΟΥΛΑΣ ΡΕΘΥΜΝΟΥ,,,
ΔΑΦΝΗ,,4,,brahimo@brahimo.gr,28340-23180,28310-28310,Δάφνη,740 52,ΔΑΦΝΗ ΠΕΡΑΜΑΤΟΣ ΡΕΘΥΜΝΗΣ,,,
ΔΕ ΒΙΛΛΑΤΖ ΡΙΖΟΡΤ & ΓΟΥΟΤΕΡΠΑΡΚ,"


1 Χλμ
",4,www.marebluehotels.gr,manager.village@zeushotels.gr,28970-26160,28970-25202,Λιμένας Χερσονήσου,700 14,ΧΑΡΑΚΩΣΤΡΕΣ,,,
ΔΕ ΒΙΛΛΑΤΖ ΧΑΙΤΣ ΓΚΟΛΦ ΡΙΖΟΡΤ,"


4 Χλμ
",5,www.villageheights.gr,fsbokos@sbokoshotels.gr,2810250502,28970-25395,Χερσόνησος,700 14,ΑΝΩ ΧΕΡΣΟΝΗΣΟΣ ΚΡΗΤΗΣ,2897029065,,
ΔΕ Ζ ΚΛΑΜΠ ΧΟΤΕΛ,,4,www.zeushotels.gr,manager.cc@zeushotels.gr,28974-40700,2810224139,Λιμένας Χερσονήσου,70014,ΕΛ. ΒΕΝΙΖΕΛΟΥ  122,2810-398608,,
ΔΕΙΛΙΝΑ,"


0.2 Χλμ
",2,,kastro_crete@yahoo.com,28410-28298,28410-25827,Άγιος Νικόλαος,721 00,ΑΓ.ΝΙΚΟΛΑΟΣ ΛΑΣΗΘΙΟΥ (ΑΜΜΟΥΔΙ),28410-25614,,
ΔΕΛΦΙΝΑ,,4,,p.tsapakis@delfinabeach.gr,28250-61273,,Γεωργιούπολη,730 07,ΚΑΒΡΟΣ,,,
ΔΕΛΦΙΝΙ,"


2 Χλμ
",2,www.hotel-delfini.gr,dxirouchakis@otenet.gr,28220-23390,28220-23416,Κίσσαμος,734 00,ΚΙΣΣΑΜΟΣ ΧΑΝΙΩΝ,28220-23393,2822-022655,2822-023464
ΔΕΝΤΡΟ ΤΗΣ ΖΩΗΣ,"


5 Χλμ
",2,,antigonihotel@yahoo.gr,28210-68109,,Αγία Μαρίνα,731 00,ΑΓ.ΜΑΡΙΝΑ ΧΑΝΙΩΝ,,2821068109,
ΔΕΣΠΟΙΝΑ,"


0.1 Χλμ
",1,,despinahotel@hotmail.com,28970-22966,28970-23719,Λιμένας Χερσονήσου,700 14,ΒΙΤΣΕΝΖΟΥ ΚΟΡΝΑΡΟΥ 10,,2897-022627,2897-023719
ΔΕΣΠΟΙΝΑ,"


1 Χλμ
",2,www.kostakisapartments.gr,info@kostakisapartments.gr,28210-68807,28210-61619,Πλατανιάς,731 00,ΠΛΑΤΑΝΙΑΣ ΧΑΝΙΩΝ,,2821-046186,2821-068807
ΔΕΣΠΟΙΝΑ,"


2 Χλμ
",1,www.despinastudios.gr,info@despinastudios.gr,28210-81703,28210-68294,Αγία Μαρίνα,731 00,ΑΓΙΑ ΜΑΡΙΝΑ ΧΑΝΙΩΝ,6979-380322,6979-380322,2821-068294
ΔΕΣΠΟΙΝΑ ΜΑΡΕ,,2,,info@sevenbrothers.gr,2831025647,,Ρέθυμνο,74100,ΣΑΡΑΦΗ 32,,,
ΔΕΣΠΟΙΝΑ ΠΑΡΑΛΙΑ,,2,,info@sevenbrothers.gr,2831025647,,Ρέθυμνο,74100,ΣΑΡΑΦΗ 34,,,
ΔΕΣΠΩ,"


5 Χλμ
",3,,despo@otenet.gr,28970-41242,28970-41068,Γούβες,700 14,ΓΟΥΒΕΣ ΗΡΑΚΛΕΙΟΥ,28970-41157,2897-041242,2897-041068
ΔΗΜΗΤΡΑ,"


0.03 Χλμ
",1,,johnyplayer2@hotmail.com,28240-22144,28240-22244,Κίσσαμος,730 06,ΚΟΛΥΜΠΑΡΙ,28240-22244,,
ΔΗΜΗΤΡΑ,"


1 Χλμ
",2,,dimitrahtl@gmail.com,28970-22685,28970-22945,Λιμένας Χερσονήσου,700 14,ΜΙΧ.ΑΔΑΜΑΚΗ,,6974-045364,2897-022945
ΔΗΜΗΤΡΑ,"


5 Χλμ
",3,,,28250-31956,28250-31995,Αλμυρίδα,730 08,ΑΛΜΥΡΙΔΑ ΧΑΝΙΩΝ,28250-32062,,
ΔΗΜΗΤΡΑ,"


4 Χλμ
",1,www.dimitra-crete.gr,info@dimitra-crete.gr,2810-761367,2810-762713,Βαθειανός Κάμπος,715 00,,2810-761523,,
ΔΗΜΗΤΡΑ ΚΑΙ ΕΥΔΟΚΙΑ,,2,,evdimhotel@yahoo.gr,28210-60658,,Αγία Μαρίνα,731 00,ΑΓΙΑ ΜΑΡΙΝΑ ΧΑΝΙΩΝ,,,
ΔΗΜΗΤΡΗΣ,"


10 Χλμ
",1,,,28210-68379,,Πλατανιάς,730 14,,,,
ΔΗΜΗΤΡΗΣ-ΧΡΥΣΑΝΝΗ,"


2 Χλμ
",2,,dxirouchakis@otenet.gr,28220-23390,28220-23464,Κίσσαμος,734 00,,28220-22655,2822-022655,2822-023464
ΔΗΜΗΤΡΙΟΝ,"


0.2 Χλμ
",3,www.dimitrioncentralhotel.gr,dimitrionhotel@otenet.gr,28970-22220,28970-22741,Λιμένας Χερσονήσου,700 14,ΕΛΕΥΘ. ΒΕΝΙΖΕΛΟΥ 92,28970-23741,2897-022220,2897-022741
ΔΗΜΗΤΡΙΟΣ,"


2 Χλμ
",4,www.sevenbrothersho.gr,info@sevenbrothers.gr,28310-56660,28310-56661,Ρέθυμνο,741 00,ΑΥΣΤΡΑΛΩΝ ΠΟΛΕΜΙΣΤΩΝ 16,,,
ΔΗΜΗΤΡΙΟΣ ΒΙΛΛΑΤΖ,"


2.5 Χλμ
",4,www.sevenbrothers.gr,info@sevenbrothers.gr,28310-25647,28310-54850,Ρέθυμνο,741 00,ΜΑΝΔΗΛΑΡΑ 27,28310-28956,6974459309,
ΔΗΜΗΤΡΙΟΣ ΠΛΑΖΑ,"


2.5 Χλμ
",4,www.sevenbrothersho.gr,info@sevenbrothers.gr,28310-25647,28310-54850,Ρέθυμνο,741 00,ΜΑΝΔΗΛΑΡΑ 27,,2831-020868,
ΔΙΑΜΕΡΙΣΜΑΤΑ ΑΚΤΗ ΓΕΡΑΝΙΩΤΗΣ,"


12 Χλμ
",4,www.geraniotisbeach.com,geraniot@otenet.gr,28210-68681,28210-68683,Πλατανιάς,731 00,,28210-68026,,
ΔΙΑΜΕΡΙΣΜΑΤΑ ΓΑΛΑΖΙΑ ΘΑΛΑΣΣΑ,,2,,manolisproimos@outlook.com,28210-68141,,Πλατανιάς,731 00,,,,
ΔΙΑΜΕΡΙΣΜΑΤΑ ΓΑΛΑΖΙΑ ΘΑΛΑΣΣΑ ΠΡΩΙΜΟΣ,,2,,manolisproimos@outlook.com,28210-68142,,Πλατανιάς,731 00,,,,
ΔΙΑΜΕΡΙΣΜΑΤΑ ΚΑΖΑ ΝΤΙ ΠΟΡΤΟ,"


0.1 Χλμ
",2,,info@portoplatanias.gr,28210-68630,28210-68574,Πλατανιάς,730 14,ΠΛΑΤΑΝΙΑΣ ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ,28210-68632,,
ΔΙΑΜΕΡΙΣΜΑΤΑ ΚΑΤΕΡΙΝΗΣ,"


5 Χλμ
",3,www.katerini-aps.gr,aikk98@hotmail.com,28310-25416,28310-25416,Ρέθυμνο,741 00,ΠΛΑΤΑΝΕΣ ΡΕΘΥΜΝΗΣ,,,
ΔΙΑΜΕΡΙΣΜΑΤΑ ΚΟΥΤΡΑΚΗΣ,"


5 Χλμ
",4,,,28410-71137,,Σίσι,724 00,ΣΕΙΣΙ ΛΑΣΙΘΙΟΥ ΚΡΗΤΗΣ,,6945440535,
ΔΙΑΣ,,2,,,28410-28264,,Άγιος Νικόλαος,721 00,ΛΑΤΟΥΣ 2,,2841-025017,
ΔΙΑΣ,"


12 Χλμ
",1,,jimkour@hotmail.com,28210-68600,28210-68614,Αγία Μαρίνα,730 14,ΑΓΙΑ ΜΑΡΙΝΑ Ν.ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ,28210-68614,,
ΔΙΑΣ,,4,www.dias-stalis.gr,info@dias-stalis.gr,28970-32950,28970-32950,Σταλίδα,700 14,ΣΤΑΛΙΔΑ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,,,
ΔΙΚΤΑΜΟ,"


0.03 Χλμ
",2,www.paleochora-holidays.gr,,28230-41569,,Παλαιοχώρα,730 01,ΠΑΛΑΙΟΧΩΡΑ ΧΑΝΙΩΝ,,28230-41569,
ΔΙΚΤΥΝΝΑ,"


1 Χλμ
",3,,maria.kantilieraki1@gmail.com,28210-56634,,Χανιά,731 32,ΕΠΙΣΚΟΠΟΥ ΔΩΡΟΘΕΟΥ 1,,2821099303,
ΔΙΚΤΥΝΝΑ,"


0.1 Χλμ
",4,,diktyna2011@yahoo.gr,28240-23544,28240-23545,Κολυμβάρι,730 07,ΚΟΛΥΜΠΑΡΙ ΧΑΝΙΩΝ,28240-23545,2824-023234,2824-022474
ΔΙΚΤΥΝΝΑ,"


18 Χλμ
",4,www.diktynna.gr,info@diktynna.gr,28420-41133,28420-41123,Ανατολή,722 00,ΑΝΑΤΟΛΗ ΙΕΡΑΠΕΤΡΑΣ,6977-812002,,
ΔΙΟΓΕΝΗΣ ΜΠΛΟΥ ΠΑΛΛΑΣ,"


0.2 Χλμ
",4,www.diogenisbluepalace.com,info@diogenisbluepalace.com,28970-43006,28970-43005,Γούβες,700 14,ΓΟΥΒΕΣ ΠΕΔΙΑΔΟΣ ΗΡΑΚΛΕΙΟΥ,2897043240,,
ΔΙΟΝΥΣΟΣ,"


0.2 Χλμ
",4,http://www.dionisosstudios.com/,info@dionisosstudios.com,28970-31475,28970-31548,Μάλια,700 07,ΜΑΛΛΙΑ ΗΡΑΚΛΕΙΟΥ,,,
ΔΙΟΝΥΣΟΣ ΧΩΡΙΟ,"


7 Χλμ
",1,www.dionyssosvillage.gr,info@dionyssosvillage.gr,28210-31688,28210-33140,Δαράτσος,731 00,ΚΑΤΩ ΔΑΡΑΤΣΩ ΧΑΝΙΩΝ,,6944-607605,
ΔΟΓΗΣ,"


2 Χλμ
",4,www.dogehotel.com,dogehotel@gmail.com,28210-95466,21180-09602,Χανιά,731 31,ΚΟΝΔΥΛΑΚΗ 14-16,28218-00001,28210-49207,28210-49207
ΔΟΞΑ,"


0.5 Χλμ
",2,www.doxahotel.gr,hoteldoxa@yahoo.gr,28410-24214,28410-24614,Άγιος Νικόλαος,721 00,ΙΔΟΜΕΝΕΩΣ 7,,2841-028658,2841-024614
ΔΡΟΣΙΑ,"


5 Χλμ
",2,www.hoteldrosia.com,info@hoteldrosia.com,28250-61326,-,Γεωργιούπολη,730 07,ΓΕΩΡΓΙΟΥΠΟΛΗ ΧΑΝΙΩΝ,-,2825-061326,
ΔΡΟΣΙΑ Ι,"


0.4 Χλμ
",1,www.parthenishotels.com,,28970-31408,,Μάλια,700 07,ΔΗΜΟΚΡΑΤΙΑΣ 121,,,
ΔΡΟΣΙΑ ΙΙ,"


0.4 Χλμ
",1,www.drossiapalms.gr,info@drossiapalms.gr,28970-31657,28970-32776,Μάλια,700 07,ΜΑΛΛΙΑ ΗΡΑΚΛ.ΚΡΗΤΗΣ,,2897-033310,
ΔΩΜΑ,"


0.5 Χλμ
",4,www.hotel-doma.gr,info@hotel-doma.gr,28210-51772,28210-41578,Χανιά,731 32,ΕΛ.ΒΕΝΙΖΕΛΟΥ 124,28210-51773,21-07216905,
ΕΒΑΝΣ,"


4 Χλμ
",2,www.evanshotel.gr,info@evanshotel.gr,2810-223928,2810-225886,Νέα Αλικαρνασσός,716 01,ΑΓ.ΦΑΝΟΥΡΙΟΥ 148,2810-225886,6940588173,
ΕΒΕΛΥΝ,"


4 Χλμ
",2,www.evelinhotel.com,eveline@otenet.gr,28310-26541,28310-20847,Ρέθυμνο,741 00,ΣΑΜΟΥ 17,,2831-026541,
ΕΒΕΛΥΝ ΜΠΗΤΣ,"


1 Χλμ
",4,www.evelynbeachhotel.gr,info@evelynbeachhotel.gr,28970-24635,28970-22445,Λιμένας Χερσονήσου,700 14,25ΗΣ ΜΑΡΤΙΟΥ Α. ΚΑΝΑΚΑΚΗ,28970-24636,28972897024688,
ΕΙΔΥΛΙΟ,"


2 Χλμ
",3,,villa.idillion@yahoo.gr,2810-281428,2810-281428,Χερσόνησος,700 14,ΑΝΩ ΧΕΡΣΟΝΗΣΟΣ ΗΡΑΚΛΕΙΟΥ,28970-23523,,
ΕΙΚΟΝΕΣ ΣΟΥΙΤΕΣ,"


1.5 Χλμ
",5,,info@lefkoniko.gr,28310-26784,28310-51769,Ρέθυμνο,741 00,ΑΡΗ ΒΕΛΟΥΧΙΩΤΗ 47,28310-51747,2831-026784,2831-051769
ΕΙΚΟΣΙ ΤΕΣΣΕΡΑ-ΕΠΤΑ,,1,,,28970-31484,,Μάλια,700 07,ΠΑΥΛΟΥ ΜΕΛΑ 4,,,
ΕΪΝΤΖΕΛΣ ΧΟΜ,"


2.5 Χλμ
",2,,asteliou@gmail.com,28970-22938,28970-22938,Ανισσαράς,700 14,ΑΝΙΣΑΡΑΣ ΧΕΡΣΟΝΗΣΟΥ ΚΡΗΤΗΣ,,,2897-022938
ΕΙΡΗΝΗ,"


0.5 Χλμ
",3,www.irini-hotel.gr,reserve@irini-hotel.gr,2810-229703,2810-226407,Ηράκλειο,712 02,ΙΔΟΜΕΝΕΩΣ 4 & ΚΟΡΑΗ,,281-0229703,281-0226407
ΕΙΡΗΝΗ,"


1 Χλμ
",2,,,28970-41243,28970-41244,Κάτω Γούβες,700 14,Κ.ΓΟΥΒΕΣ ΗΡΑΚΛΕΙΟΥ,,2897-041243,2897-041244
ΕΙΡΗΝΗ,"


0.04 Χλμ
",2,www.interkriti.net/hotel/agpelagia/irini,steed_leo@hotmail.com,2810-811455,2810-811202,Αγία Πελαγία,715 00,ΑΓΙΑ ΠΕΛΑΓΙΑ ΗΡΑΚΛΕΙΟΥ,,,
